date,open,low,high,close,volume
2023-05-12 16:00:00,172.57,172.41,172.57,172.47,609149
2023-05-12 15:30:00,171.91,171.905,172.62,172.56,5265425
2023-05-12 15:00:00,171.66,171.56,171.93,171.9001,2859333
2023-05-12 14:30:00,171.33,171.18,171.75,171.6599,2459539
2023-05-12 14:00:00,171.27,171.0,171.5,171.33,2244576
2023-05-12 13:30:00,171.77,171.21,171.975,171.28,2352668
2023-05-12 13:00:00,171.53,171.315,172.015,171.775,2225380
2023-05-12 12:30:00,171.93,171.49,172.19,171.54,2320157
2023-05-12 12:00:00,172.67,171.93,172.69,171.945,2701076
2023-05-12 11:30:00,172.485,172.32,172.72,172.665,2128736
2023-05-12 11:00:00,172.78,172.375,172.975,172.48,2362836
2023-05-12 10:30:00,172.69,172.33,172.9,172.78,3240476
2023-05-12 10:00:00,173.08,172.51,173.26,172.69,3653914
2023-05-12 09:30:00,173.62,172.95,174.06,173.08,5828533
2023-05-11 16:00:00,173.84,173.54,173.84,173.56,2021191
2023-05-11 15:30:00,174.075,173.5,174.15,173.81,4250453
2023-05-11 15:00:00,174.375,173.86,174.4,174.09,2576752
2023-05-11 14:30:00,173.9999,173.9305,174.59,174.37,3430553
2023-05-11 14:00:00,173.67,173.56,174.0,173.9901,1922165
2023-05-11 13:30:00,173.47,173.06,173.74,173.6699,2167039
2023-05-11 13:00:00,173.76,173.38,173.94,173.47,2287584
2023-05-11 12:30:00,173.67,173.66,174.025,173.76,2129648
2023-05-11 12:00:00,173.59,173.35,173.915,173.66,2454755
2023-05-11 11:30:00,173.695,173.26,173.88,173.59,2869611
2023-05-11 11:00:00,173.23,173.1601,173.7,173.7,3483622
2023-05-11 10:30:00,172.67,172.3,173.255,173.23,3302254
2023-05-11 10:00:00,172.28,172.17,172.855,172.67,3688770
2023-05-11 09:30:00,173.85,172.18,173.96,172.27,7314549
2023-05-10 16:00:00,173.53,173.47,173.63,173.53,1652146
2023-05-10 15:30:00,173.64,173.34,173.91,173.5504,5350123
2023-05-10 15:00:00,173.07,172.945,173.84,173.63,3322652
2023-05-10 14:30:00,172.625,172.61,173.16,173.065,2981991
2023-05-10 14:00:00,172.275,172.26,172.84,172.62,1862886
2023-05-10 13:30:00,172.02,171.9,172.49,172.28,2204774
2023-05-10 13:00:00,172.8,171.98,172.9499,172.03,2451687
2023-05-10 12:30:00,173.1721,172.73,173.3,172.81,1960954
2023-05-10 12:00:00,173.4866,172.79,173.4866,173.1775,2472264
2023-05-10 11:30:00,173.3,173.3,173.83,173.49,2811067
2023-05-10 11:00:00,172.56,172.55,173.37,173.2901,2610341
2023-05-10 10:30:00,173.055,172.29,173.42,172.555,3998618
2023-05-10 10:00:00,172.985,172.95,173.71,173.0519,4421947
2023-05-10 09:30:00,173.02,172.55,174.03,172.986,7289331
2023-05-09 16:00:00,171.76,171.64,171.87,171.7,772364
2023-05-09 15:30:00,171.97,171.6,172.235,171.78,6266477
2023-05-09 15:00:00,172.075,171.85,172.17,171.965,1777588
2023-05-09 14:30:00,172.27,171.92,172.3576,172.072,1680804
2023-05-09 14:00:00,172.09,172.0776,172.3398,172.27,1506589
2023-05-09 13:30:00,172.21,171.96,172.3,172.085,1531798
2023-05-09 13:00:00,172.37,172.18,172.48,172.205,2146071
2023-05-09 12:30:00,172.055,172.02,172.43,172.369,1662813
2023-05-09 12:00:00,171.85,171.81,172.2,172.0591,1748112
2023-05-09 11:30:00,172.29,171.82,172.3999,171.855,2610329
2023-05-09 11:00:00,172.51,172.1691,172.64,172.2804,2291546
2023-05-09 10:30:00,172.53,172.145,172.6,172.515,2998353
2023-05-09 10:00:00,172.78,172.26,172.89,172.52,3231609
2023-05-09 09:30:00,173.05,172.31,173.54,172.775,6999827
2023-05-08 16:00:00,173.5,173.32,173.53,173.39,557570
2023-05-08 15:30:00,173.4,173.37,173.68,173.52,4323577
2023-05-08 15:00:00,173.725,173.21,173.78,173.405,2207045
2023-05-08 14:30:00,173.595,173.47,173.8,173.725,1896427
2023-05-08 14:00:00,173.7,172.96,173.74,173.5999,3061150
2023-05-08 13:30:00,173.64,173.62,173.85,173.705,1739183
2023-05-08 13:00:00,173.45,173.35,173.65,173.63,1645001
2023-05-08 12:30:00,173.75,173.41,173.77,173.44,1833564
2023-05-08 12:00:00,173.77,173.5,173.82,173.745,2037327
2023-05-08 11:30:00,173.23,173.15,173.768,173.76,2525445
2023-05-08 11:00:00,173.48,173.15,173.63,173.2206,2661483
2023-05-08 10:30:00,173.375,172.7201,173.59,173.47,4686642
2023-05-08 10:00:00,172.795,172.74,173.82,173.37,6111407
2023-05-08 09:30:00,172.48,172.11,173.57,172.784,10500649
2023-05-05 16:00:00,173.56,173.0,173.69,173.44,3557649
2023-05-05 15:30:00,173.745,173.35,174.08,173.62,9650173
2023-05-05 15:00:00,174.15,173.3,174.3,173.745,5522690
2023-05-05 14:30:00,174.075,173.77,174.18,174.145,3917904
2023-05-05 14:00:00,173.8858,173.69,174.0925,174.08,3395988
2023-05-05 13:30:00,173.645,173.6424,174.09,173.8819,4040879
2023-05-05 13:00:00,173.47,173.24,173.64,173.64,3225381
2023-05-05 12:30:00,173.265,173.21,173.64,173.465,5139802
2023-05-05 12:00:00,173.795,173.23,174.05,173.265,4572809
2023-05-05 11:30:00,173.84,173.55,174.05,173.7937,4849603
2023-05-05 11:00:00,173.5648,173.33,173.9,173.8377,6072207
2023-05-05 10:30:00,173.37,173.18,174.2,173.56,10964967
2023-05-05 10:00:00,173.14,170.96,173.55,173.37,9096718
2023-05-05 09:30:00,170.975,170.76,173.75,173.12,28953738
2023-05-04 16:00:00,165.76,165.3,166.68,166.3088,7645142
2023-05-04 15:30:00,165.675,165.3821,166.34,165.78,9158258
2023-05-04 15:00:00,165.61,165.08,165.97,165.6734,4269269
2023-05-04 14:30:00,165.53,165.3,165.74,165.615,3298323
2023-05-04 14:00:00,166.38,165.5101,166.4,165.5328,2534641
2023-05-04 13:30:00,166.675,166.01,166.905,166.37,2866315
2023-05-04 13:00:00,166.585,166.41,167.04,166.6726,2743580
2023-05-04 12:30:00,166.21,165.95,166.64,166.58,2501072
2023-05-04 12:00:00,165.76,165.43,166.23,166.21,2501220
2023-05-04 11:30:00,165.94,165.5184,166.19,165.7766,2543965
2023-05-04 11:00:00,165.93,165.71,166.88,165.935,4843765
2023-05-04 10:30:00,165.255,165.1303,166.23,165.95,4192302
2023-05-04 10:00:00,165.16,164.7092,165.77,165.255,5460199
2023-05-04 09:30:00,164.89,164.31,165.5,165.165,9800859
2023-05-03 16:00:00,167.45,167.0,167.6,167.28,2992018
2023-05-03 15:30:00,168.14,167.16,168.2199,167.465,6914595
2023-05-03 15:00:00,170.0401,168.12,170.47,168.15,5100288
2023-05-03 14:30:00,170.25,169.05,170.76,170.05,6003652
2023-05-03 14:00:00,169.88,169.37,170.6,170.245,4220210
2023-05-03 13:30:00,170.155,169.7804,170.25,169.89,1682840
2023-05-03 13:00:00,169.995,169.895,170.29,170.1599,2014738
2023-05-03 12:30:00,169.71,169.57,170.17,169.995,2084856
2023-05-03 12:00:00,169.9287,169.52,169.95,169.7,1773014
2023-05-03 11:30:00,169.31,169.23,169.9299,169.9214,2188288
2023-05-03 11:00:00,169.62,169.18,169.69,169.31,2228066
2023-05-03 10:30:00,170.08,169.57,170.28,169.625,3223488
2023-05-03 10:00:00,170.75,170.01,170.92,170.0801,4597130
2023-05-03 09:30:00,169.5,169.49,170.89,170.7519,7828306
2023-05-02 16:00:00,168.54,168.3,168.63,168.4,1037803
2023-05-02 15:30:00,168.97,168.39,168.98,168.55,4535150
2023-05-02 15:00:00,169.03,168.88,169.28,168.965,2416626
2023-05-02 14:30:00,168.47,168.46,169.05,169.03,1732934
2023-05-02 14:00:00,168.68,168.345,168.765,168.47,1693717
2023-05-02 13:30:00,168.8,168.58,168.95,168.6758,1796727
2023-05-02 13:00:00,168.38,168.33,168.9299,168.81,2372602
2023-05-02 12:30:00,168.11,168.0852,168.52,168.39,2085468
2023-05-02 12:00:00,167.62,167.55,168.2,168.1101,1951876
2023-05-02 11:30:00,167.82,167.54,168.2299,167.63,3438515
2023-05-02 11:00:00,168.26,167.7,168.3768,167.8169,3690033
2023-05-02 10:30:00,168.72,168.02,168.73,168.27,3769446
2023-05-02 10:00:00,169.8,168.4801,169.9338,168.71,5006745
2023-05-02 09:30:00,170.09,169.4107,170.35,169.77,5881226
2023-05-01 16:00:00,169.59,169.53,169.74,169.68,2198770
2023-05-01 15:30:00,169.7,169.25,169.9,169.56,5092381
2023-05-01 15:00:00,169.53,169.36,169.76,169.691,2157032
2023-05-01 14:30:00,169.9,169.2,169.96,169.5343,2885553
2023-05-01 14:00:00,170.145,169.82,170.178,169.9199,1945692
2023-05-01 13:30:00,170.13,170.0701,170.41,170.1499,1892345
2023-05-01 13:00:00,170.3577,170.1,170.45,170.14,2476000
2023-05-01 12:30:00,169.985,169.985,170.42,170.35,2568388
2023-05-01 12:00:00,169.6304,169.5801,170.19,169.975,2750817
2023-05-01 11:30:00,169.14,169.051,170.0,169.65,2001587
2023-05-01 11:00:00,169.515,168.93,169.83,169.13,3202247
2023-05-01 10:30:00,169.045,168.64,169.56,169.5199,3563840
2023-05-01 10:00:00,169.47,169.02,169.67,169.045,3487073
2023-05-01 09:30:00,169.28,169.03,170.29,169.48,9018787
2023-04-28 16:00:00,169.68,169.44,169.77,169.5,2372922
2023-04-28 15:30:00,168.82,168.79,169.71,169.69,6391785
2023-04-28 15:00:00,168.57,168.5219,169.03,168.815,2861366
2023-04-28 14:30:00,168.295,168.12,168.5917,168.5701,2303405
2023-04-28 14:00:00,168.345,168.22,168.52,168.295,1983583
2023-04-28 13:30:00,168.76,168.15,168.7623,168.35,2277839
2023-04-28 13:00:00,168.83,168.51,168.89,168.76,1967315
2023-04-28 12:30:00,168.662,168.33,168.85,168.8353,1974757
2023-04-28 12:00:00,168.77,168.36,168.97,168.67,2096307
2023-04-28 11:30:00,168.3,168.2,168.83,168.76,2250411
2023-04-28 11:00:00,168.78,168.03,168.795,168.29,3083718
2023-04-28 10:30:00,169.83,168.57,169.85,168.78,4951075
2023-04-28 10:00:00,168.51,168.23,169.85,169.8385,5530657
2023-04-28 09:30:00,168.49,167.8801,169.04,168.51,6754802
2023-04-27 16:00:00,168.41,167.5955,169.054,167.97,2075809
2023-04-27 15:30:00,168.28,168.22,168.56,168.4,9332025
2023-04-27 15:00:00,167.875,167.83,168.53,168.285,4889399
2023-04-27 14:30:00,167.455,167.44,167.95,167.8701,3378051
2023-04-27 14:00:00,167.25,167.14,167.49,167.45,2429688
2023-04-27 13:30:00,167.29,167.23,167.46,167.25,2509477
2023-04-27 13:00:00,167.01,166.895,167.345,167.29,2193429
2023-04-27 12:30:00,166.77,166.715,167.02,167.01,1806018
2023-04-27 12:00:00,166.685,166.68,167.09,166.765,2672535
2023-04-27 11:30:00,166.71,166.4,166.85,166.6886,2524681
2023-04-27 11:00:00,166.2225,166.12,166.905,166.6899,3409635
2023-04-27 10:30:00,166.27,166.22,166.62,166.2242,3071247
2023-04-27 10:00:00,165.435,165.35,166.41,166.255,4753284
2023-04-27 09:30:00,165.19,165.19,166.149,165.42,7690964
2023-04-26 16:00:00,163.74,163.65,164.5,164.29,1387353
2023-04-26 15:30:00,163.64,163.361,164.19,163.72,6395436
2023-04-26 15:00:00,163.51,163.31,163.67,163.63,1964440
2023-04-26 14:30:00,163.755,163.38,163.8,163.5,1795280
2023-04-26 14:00:00,163.51,163.35,163.87,163.76,1812445
2023-04-26 13:30:00,164.18,163.38,164.19,163.5181,1997902
2023-04-26 13:00:00,164.3071,164.041,164.53,164.18,1767416
2023-04-26 12:30:00,165.03,164.1302,165.04,164.3008,1555820
2023-04-26 12:00:00,164.86,164.8443,165.28,165.03,2393095
2023-04-26 11:30:00,164.62,164.4,164.94,164.86,1874017
2023-04-26 11:00:00,164.19,164.09,164.885,164.62,2813909
2023-04-26 10:30:00,163.31,163.27,164.26,164.185,2532663
2023-04-26 10:00:00,164.02,163.265,164.2693,163.3106,3379669
2023-04-26 09:30:00,163.055,162.8,164.14,164.0291,6236503
2023-04-25 16:00:00,163.82,163.52,164.43,163.91,1286760
2023-04-25 15:30:00,164.12,163.73,164.2403,163.8,6241207
2023-04-25 15:00:00,164.0,163.98,164.42,164.12,2328157
2023-04-25 14:30:00,164.33,163.995,164.53,164.0001,2075707
2023-04-25 14:00:00,163.9224,163.75,164.35,164.3206,2416723
2023-04-25 13:30:00,164.33,163.84,164.46,163.92,1669636
2023-04-25 13:00:00,164.6226,163.8,164.82,164.34,2909146
2023-04-25 12:30:00,164.62,164.38,164.67,164.62,1864653
2023-04-25 12:00:00,164.86,164.58,164.9263,164.63,2468728
2023-04-25 11:30:00,165.21,164.78,165.2282,164.865,2311042
2023-04-25 11:00:00,165.23,164.99,165.65,165.22,2700891
2023-04-25 10:30:00,165.34,165.0595,165.4779,165.22,2871996
2023-04-25 10:00:00,166.04,165.06,166.28,165.34,4211996
2023-04-25 09:30:00,165.19,165.05,166.305,166.05,6405149
2023-04-24 16:00:00,165.33,165.0,165.45,165.34,1036557
2023-04-24 15:30:00,165.345,165.09,165.6,165.36,5467172
2023-04-24 15:00:00,165.3,165.23,165.44,165.345,1909573
2023-04-24 14:30:00,165.18,164.98,165.3076,165.2942,1574872
2023-04-24 14:00:00,165.15,165.1,165.44,165.1722,2091384
